tractid00,totalpop,households,pcthhchild,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres
"25025070200",4183,1412,22.32,5.27,7.69,20.87144,12.85,24.2,11.95,10.68,8.22,5.83,2.99,3.81,3.36,3.58,7.69,3.36,4.03,2.84,2.17,5.23,21497,32.63,5.15,1450,2.76,97.24,2.62,308580,32.12,18.84,7.34,15.29,15.68,6.56,2.93,1.16,595,44.49,29.200001,0,0,59.49,44.38
"25025070300",3552,2162,6.86,16.34,26.09,63.83495,70.86,7.13,3.61,3.71,2.85,2.04,1,3.94,2.95,2.47,5.32,7.17,12.21,8.36,6.65,30.55,87922,6.63,.76,2338,40.38,59.62,7.53,532338,13.51,10.39,5.76,7.75,12.31,10.95,18.86,20.62,1278,41.37,27.299999,8.65,0,39.52,45.77
"25025070400",1832,640,29.06,4.1,12.09,14.7541,7.2,27.91,13.43,10.3,7.91,5.97,3.88,8.21,4.78,2.24,3.58,5.67,3.13,1.94,1.04,0,17010,34.55,11.04,641,.94,99.06,.16,13527,36.48,28.16,15.52,7.04,6.56,3.04,.64,2.56,406,45.44,29.1,,,66.34,28.8
"25025070500",5435,2752,19.63,9.95,26.16,57.27332,47.83,14.2,6.6,4.07,2.11,2.39,3.46,2.82,3.53,3.71,5.57,6.07,9.56,9.14,7.03,19.77,61016,27.58,4,2938,30.92,69.08,6.33,481607,18.7,15.33,8.92,6.14,7.96,8.6,12.5,21.79,1002,41.82,28.1,10.47,9.3,50.09,43.96
"25025070600",2188,1267,9.21,15.92,28.39,71.6707,74.23,4.83,2.5,2.66,1.61,1.37,1.37,3.38,2.1,1.13,1.69,5.8,12.33,9.59,8.54,41.02,124527,7.32,1.45,1329,50.28,49.72,4.67,752849,2.85,4.12,3.33,5.07,8.24,10.62,20.6,45.32,1879,32.81,23,9.29,0,41.97,39.45
"25025070700",2214,1191,21.94,13.67,30.24,59.63173,58.42,3.28,2.07,3.89,3.2,3.2,3.28,6.05,6.91,6.48,4.93,4.93,10.2,8.99,7.52,25.07,82280,10.68,.78,1245,36.86,63.14,4.34,502170,7.4,11.17,8.96,10.26,10.78,10.39,18.96,22.08,1218,35.39,24.4,65.79,0,50.42,40.73
"25025070800",3600,2048,8.16,16.04,23.93,59.82181,58.39,10.03,5.29,6.23,3.01,2.72,3.36,4.79,3.61,2.87,5.78,7.16,12.55,8.65,6.62,17.34,63603,7.63,2.57,2115,26.71,73.29,3.17,471055,14.17,11.55,6.72,10.01,9.07,7.86,17.39,23.24,1188,40.99,26.299999,0,0,32.71,51.67
"25025070900",2853,1549,16.75,12.14,25.4,59.56187,49.99,15.48,7.36,5.41,2.89,3.84,5.92,2.45,1.57,1.45,6.54,6.99,9.63,9.06,6.99,14.48,55889,26.22,2.89,1655,23.89,76.11,6.4,440887,23.03,17.09,9.12,7,10.19,8.33,12.67,12.58,887,38.78,27.1,46.15,0,37.06,54.2
"25025071100",3120,1697,9.4,8.72,22.8,57.74648,52.04,15.68,7.87,7.45,5.01,4.05,3.34,2.44,4,4.59,5.66,8.05,8.05,6.68,5.37,11.63,45169,18.9,2.03,1763,16.38,83.62,3.74,380686,15.37,18.24,13.42,8.25,9.29,8.67,15.93,10.9,855,37.35,26.799999,100,0,29.03,65.2
"25025071200",1344,471,17.94,11.88,14.8,33.18386,14.57,16.87,8.64,9.26,8.23,7.41,6.38,3.5,3.29,2.67,3.91,5.14,3.09,3.91,3.91,13.58,29093,35.52,10.29,590,20.81,79.19,20.17,719840,38.15,23.71,10.35,4.63,11.72,7.9,2.45,1.09,392,40.06,27.9,,,33.73,56.39
