"tractid","year","totalpop","households","pcthhchild","pctind_finance","pctind_professional","pctocc_profmanage","pctcollege","pctinc_0_10K","pctinc_10K_15K","pctinc_15K_20K","pctinc_20K_25K","pctinc_25K_30K","pctinc_30K_35K","pctinc_35K_40K","pctinc_40K_45K","pctinc_45K_50K","pctinc_50K_60K","pctinc_60K_75K","pctinc_75K_100K","pctinc_100K_125K","pctinc_125K_150K","pctinc_150K_more","medhhincome","pctpoverty","pctpublicassist","units","pctown","pctrent","pctvacant","medianvalue","pctrent_0_300","pctrent_300_600","medianrent","pctincomerent_30_more","medianpctincomerent","pctinc_mortgage_30_more","pctinc_nomortgage_30_more","pctsameres","pctrent_600_800","pctrent_800_1000","pctrent_1000_1250","pctrent_1250_1500","pctrent_1500_2000","pctrent_2000_more","pctind_info","pctunits_newres_2000","pctunits_newres","pctrent_600_750","pctrent_750_1000","pctrent_1000_more","pctunits_newres_2005","pctunits_newres_2010"
25017320100,1990,9191,3159,35.25,6.48,23.43,42.79,43.31,0.79,1.8,1.84,1.8,1.52,1.99,1.74,0.51,2.14,5.4,10.39,18.33,12.29,11.09,28.37,102118,3.1,2.09,3305,85.19,14.81,4.42,373052,13.73,13.73,1068,22,23.200001,28.46,1.43,57,,,,,,,,,50.87,6.54,11.11,50.98,,
25017321100,1990,4561,1788,28.06,4.49,19.51,41.71,35.95,3.93,1.27,1.1,1.33,4.42,4.59,3.48,4.09,3.37,7.36,9.9,12.39,11.73,10.84,20.35,85429,6.9,3.1,1917,64.04,35.96,6.73,401570,8.49,8.49,1249,33.49,26.5,19.78,0,46.13,,,,,,,,,59.51,4.25,7.23,71.54,,
25017321200,1990,5772,2343,30.2,4.11,20.53,38.14,30.05,2.81,2.46,2.59,2.98,2.47,2.98,4.58,4.58,4.67,9.16,11.24,17.77,10.38,7.31,14.01,74150,5.16,3.55,2447,60.48,39.52,4.25,287141,0.76,2.7,1241,34.67,26.799999,15.45,4.23,54.8,,,,,,,,,49.64,4.86,8.21,81.1,,
25017321300,1990,6386,2645,25.23,5.67,15.89,28.18,17.78,4.76,5.55,5.09,3.21,3.85,4.94,3.66,4.22,4.79,9.46,11.92,15.47,5.47,4.68,13.01,60529,7.98,7.54,2836,41.32,58.68,6.73,267535,8.51,10.82,1062,37.69,25.799999,21.41,4.7,50,,,,,,,,,56.33,9.66,16.24,53.03,,
25017321400,1990,2657,794,33.27,4.35,20.63,36.97,29.67,4.82,1.78,1.65,0.88,0.38,1.9,2.03,1.52,1.4,4.44,8.37,12.42,13.56,12.8,32.32,114867,3.9,4.06,850,88.72,11.28,7.18,307282,0,1.12,1602,38.2,29.799999,20.22,1.1,68.41,,,,,,,,,28.01,2.25,3.37,70.79,,
25017321500,1990,5711,2083,30.01,3.88,17.48,26.68,18.58,0.24,2.26,2.59,3.27,2.98,3.76,4.28,5.34,6.16,10.44,11.26,19.72,10.97,7.5,9.28,71610,4.43,6.49,2229,57.9,42.1,6.33,271991,1.48,5.92,1146,35.04,26.4,30.38,0.93,55.35,,,,,,,,,48.71,10.92,18.32,60.98,,
25017321600,1990,6729,2503,32.1,5.87,20.67,37.95,31.55,2.56,1.36,1.52,2.04,2.28,3.12,2.96,2.36,3.48,4.96,8.17,18.06,14.62,11.25,21.15,96360,4.73,3.24,2732,60.21,39.79,9.11,303539,3.04,3.34,1492,37.86,24.5,18.34,1.72,57.92,,,,,,,,,50.18,2.13,3.54,87.96,,
25017322100,1990,4238,1427,34.24,5.03,22.27,44.57,33.83,0.49,0.56,0.63,0.63,0.35,1.04,2.08,2.29,2.43,4.6,7.24,19.21,16.56,13.92,27.91,111365,1.8,2.23,1508,88.43,11.57,4.24,310312,0,1.2,1626,34.73,24.6,22.15,0.71,60.76,,,,,,,,,40.31,2.4,4.19,92.22,,
25017322200,1990,2932,1175,26.8,6.53,18.15,37.57,28.14,6.25,8.17,7.25,3.17,1.34,1,0.58,1.75,2.08,5.41,8.08,17.83,9.42,8.92,18.67,85683,6.26,8.33,1233,61.8,38.2,4.46,290706,16.89,14.89,1125,33.78,25.700001,28.27,6.11,55.92,,,,,,,,,57.22,3.78,6.22,56.22,,
25017322300,1990,5456,2198,30.35,4.59,17.21,30.2,15.9,3.98,5.07,4.57,2.8,2.67,3.84,4.79,3.35,2.63,8.55,11.48,13.47,11.39,8.23,13.29,70158,3.72,3.16,2295,61.01,38.99,4.23,283042,10.27,11.79,1066,32.32,26.299999,21.89,4.78,62.37,,,,,,,,,39.9,8.52,14.35,52.28,,
25017322400,1990,4604,1558,35.35,4.57,17.05,27.66,19.41,2.9,2.18,2.7,3.8,2.06,1.61,3.09,3.47,3.03,7.46,12.1,19.18,11.52,10.36,14.48,81492,3.46,4.7,1665,66.75,33.25,6.43,291241,5.21,8.49,1112,45.95,29,20.76,2.46,70.01,,,,,,,,,38.19,10.23,17.37,58.49,,
25017323100,1990,5328,1793,36.45,6.12,24.06,50.31,49.82,1.01,1.29,1.17,0.84,1.52,1.96,2.07,2.8,2.52,4.88,4.82,11.26,13,12.66,38.21,124542,1.62,2.24,1853,87.23,12.77,3.24,416899,5.68,6.55,1301,39.3,28.4,16.77,2.51,70.73,,,,,,,,,30.84,4.8,8.3,68.56,,
